PlayerID,Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
21,BKG Mendis,2023-2025,34,34,3,1439,143,46.41,1457,98.76,4,9,0,158,29
1,KIC Asalanka,2023-2025,35,32,5,1272,127,47.11,1374,92.57,4,7,3,107,41
24,P Nissanka,2023-2025,29,29,2,1152,210*,42.66,1177,97.87,3,7,4,143,26
39,J Liyanage,2024-2025,26,21,4,735,101*,43.23,896,82.03,1,5,0,54,19
30,S Samarawickrama,2023-2024,27,25,4,646,108,30.76,675,95.7,1,3,2,66,5
12,WIA Fernando,2024-2025,22,21,0,599,100,28.52,710,84.36,1,4,3,65,15
22,PHKD Mendis,2024-2025,15,14,4,275,64,27.5,341,80.64,0,1,2,20,8
13,PW Hasaranga,2024-2025,18,12,1,198,35,18,197,100.5,0,0,0,15,9
33,M Theekshana,2023-2025,28,17,5,196,38*,16.33,380,51.57,0,0,2,17,2
36,DN Wellalage,2023-2025,16,12,2,191,67*,19.1,232,82.32,0,1,1,15,5
9,KNM Fernando,2024-2025,7,6,0,182,69,30.33,212,85.84,0,2,0,21,2
27,MDKJ Perera,2023-2023,7,7,0,149,78,21.28,147,101.36,0,2,1,25,2
6,DM de Silva,2023-2023,8,7,0,140,34,20,184,76.08,0,0,0,13,4
31,MD Shanaka,2023-2024,4,4,0,95,68,23.75,112,84.82,0,1,0,6,3
2,PVD Chameera,2023-2025,10,8,2,65,18*,10.83,126,51.58,0,0,1,5,0
37,C Wickramasinghe,2024-2025,4,3,0,58,22,19.33,100,58,0,0,0,4,1
42,CAK Rajitha,2023-2023,6,4,0,52,33,13,57,91.22,0,0,1,6,1
43,SSD Arachchige,2024-2024,3,2,0,32,21,16,63,50.79,0,0,0,2,0
38,A Dananjaya,2024-2024,3,2,0,32,17,16,34,94.11,0,0,0,4,0
19,D Madushanka,2023-2024,20,8,5,31,19,10.33,72,43.05,0,0,1,4,0
35,JDF Vandersay,2024-2024,8,3,3,23,19*,-,22,104.54,0,0,0,2,0
29,RMMP Rathnayake,2025-2025,1,1,0,22,22,22,31,70.96,0,0,0,3,0
17,FDM Karunaratne,2023-2023,2,2,0,15,15,7.5,22,68.18,0,0,1,1,0
20,E Malinga,2025-2025,6,5,2,14,4,4.66,54,25.92,0,0,0,2,0
46,S Daniel,2024-2024,1,1,0,12,12,12,28,42.85,0,0,0,1,0
18,CBRLS Kumara,2023-2025,6,4,2,11,5*,5.5,26,42.3,0,0,0,2,0
41,Pramod Madushan,2024-2024,6,3,1,11,8,5.5,22,50,0,0,0,1,0
16,C Karunaratne,2023-2023,3,2,0,8,6,4,28,28.57,0,0,0,1,0
5,AM Fernando,2024-2025,18,5,3,6,3*,3,21,28.57,0,0,1,0,0
25,M Pathirana,2023-2023,2,2,1,6,5,6,19,31.57,0,0,0,1,0
45,MADI Hemantha,2023-2023,2,2,1,4,4*,4,4,100,0,0,1,1,0
32,M Shiraz,2024-2024,2,1,1,1,1*,-,1,100,0,0,0,0,0
10,MNK Fernando,2024-2024,1,-,-,-,-,-,-,-,-,-,-,-,-
