PlayerID,Player,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5
13,PW Hasaranga,2024-2025,18,18,131,9,671,41,45857,16.36,5.12,19.1,4,1
19,D Madushanka,2023-2024,20,20,140,10,911,35,29342,26.02,6.5,24,1,1
33,M Theekshana,2023-2025,28,27,212.4,8,990,33,11414,30,4.65,38.6,3,0
5,AM Fernando,2024-2025,18,18,111,2,591,29,12875,20.37,5.32,22.9,1,0
36,DN Wellalage,2023-2025,16,16,126.5,1,653,20,45804,32.65,5.14,38,1,1
35,JDF Vandersay,2024-2024,8,7,54.3,1,263,15,12206,17.53,4.82,21.8,0,1
1,KIC Asalanka,2023-2025,35,19,70.4,3,363,12,45736,30.25,5.13,35.3,0,0
2,PVD Chameera,2023-2025,10,10,67.5,5,400,10,18688,40,5.89,40.7,0,0
41,Pramod Madushan,2024-2024,6,6,48.2,0,334,10,27485,33.4,6.91,29,1,0
18,CBRLS Kumara,2023-2025,6,6,39,0,263,8,17624,32.87,6.74,29.2,1,0
42,CAK Rajitha,2023-2023,6,6,49,1,336,8,18354,42,6.85,36.7,1,0
20,E Malinga,2025-2025,6,6,29,1,179,4,12844,44.75,6.17,43.5,0,0
38,A Dananjaya,2024-2024,3,3,30,1,148,3,19756,49.33,4.93,60,0,0
22,PHKD Mendis,2024-2025,15,7,18,0,119,3,45735,39.66,6.61,36,0,0
39,J Liyanage,2024-2025,26,13,35.2,1,206,2,45673,103,5.83,106,0,0
25,M Pathirana,2023-2023,2,2,19,0,185,2,32874,92.5,9.73,57,0,0
32,M Shiraz,2024-2024,2,2,9,1,48,1,45680,48,5.33,54,0,0
37,C Wickramasinghe,2024-2025,4,4,9.2,0,66,1,45685,66,7.07,56,0,0
43,SSD Arachchige,2024-2024,3,1,2,0,10,0,-,-,5,-,0,0
6,DM de Silva,2023-2023,8,8,25,0,174,0,-,-,6.96,-,0,0
45,MADI Hemantha,2023-2023,2,2,16,0,94,0,-,-,5.87,-,0,0
16,C Karunaratne,2023-2023,3,2,12,1,73,0,-,-,6.08,-,0,0
29,RMMP Rathnayake,2025-2025,1,1,1,0,10,0,-,-,10,-,0,0
31,MD Shanaka,2023-2024,4,3,15,0,78,0,-,-,5.2,-,0,0
46,S Daniel,2024-2024,1,-,-,-,-,-,-,-,-,-,-,-
9,KNM Fernando,2024-2025,7,-,-,-,-,-,-,-,-,-,-,-
10,MNK Fernando,2024-2024,1,-,-,-,-,-,-,-,-,-,-,-
12,WIA Fernando,2024-2025,22,-,-,-,-,-,-,-,-,-,-,-
17,FDM Karunaratne,2023-2023,2,-,-,-,-,-,-,-,-,-,-,-
21,BKG Mendis,2023-2025,34,-,-,-,-,-,-,-,-,-,-,-
24,P Nissanka,2023-2025,29,-,-,-,-,-,-,-,-,-,-,-
27,MDKJ Perera,2023-2023,7,-,-,-,-,-,-,-,-,-,-,-
30,S Samarawickrama,2023-2024,27,-,-,-,-,-,-,-,-,-,-,-
