PlayerID,Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
24,P Nissanka,2024-2025,20,20,2,706,90,39.22,507,139.25,0,5,0,84,20
21,BKG Mendis,2024-2025,23,23,1,662,86,30.09,501,132.13,0,4,1,65,25
27,MDKJ Perera,2024-2025,17,17,1,420,101,26.25,293,143.34,1,2,5,49,11
1,KIC Asalanka,2024-2025,20,20,3,369,69,21.7,267,138.2,0,2,3,24,21
22,PHKD Mendis,2024-2025,14,14,1,294,65*,22.61,224,131.25,0,2,1,31,10
30,S Samarawickrama,2024-2024,8,8,2,199,61*,33.16,163,122.08,0,2,0,22,2
13,PW Hasaranga,2024-2024,15,15,2,159,67,12.23,113,140.7,0,1,2,16,6
31,MD Shanaka,2024-2025,10,10,3,148,35*,21.14,103,143.68,0,0,2,17,5
6,DM de Silva,2024-2024,4,4,1,61,24,20.33,58,105.17,0,0,0,6,1
28,PBB Rajapaksa,2024-2025,6,6,2,55,17,13.75,45,122.22,0,0,0,6,1
5,WIA Fernando,2024-2025,6,6,1,39,17,7.8,50,78,0,0,1,2,1
33,M Theekshana,2024-2025,10,10,2,37,14,4.62,56,66.07,0,0,2,2,0
23,RTM Mendis,2024-2024,2,2,0,15,12,7.5,16,93.75,0,0,0,0,1
35,JDF Vandersay,2025-2025,2,2,0,15,8,7.5,20,75,0,0,0,0,1
37,C Wickramasinghe,2024-2025,3,3,3,14,6*,-,11,127.27,0,0,0,2,0
7,B Fernando,2024-2025,4,4,1,13,6,4.33,20,65,0,0,1,1,0
25,M Pathirana,2024-2024,6,6,3,12,6,4,15,80,0,0,2,1,0
36,DN Wellalage,2024-2024,2,2,1,12,11*,12,16,75,0,0,0,1,1
2,PVD Chameera,2024-2024,1,1,1,6,6*,-,2,300,0,0,0,1,0
3,LD Chandimal,2025-2025,1,1,0,4,4,4,5,80,0,0,0,0,0
38,A Dananjaya,2024-2024,1,1,1,4,4*,-,1,400,0,0,0,1,0
12,AM Fernando,2024-2024,2,2,2,1,1*,-,2,50,0,0,0,0,0
34,N Thushara,2024-2025,3,3,3,1,1*,-,3,33.33,0,0,0,0,0
16,C Karunaratne,2025-2025,1,1,0,0,0,0,2,0,0,0,1,0,0
19,D Madushanka,2024-2024,1,1,0,0,0,0,1,0,0,0,1,0,0
