PlayerID,Player,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5
1,KIC Asalanka,2024-2025,24,6,12,0,119,6,18323,19.83,9.91,12,0,0
2,PVD Chameera,2024-2024,3,3,10,0,81,3,10990,27,8.1,20,0,0
3,LD Chandimal,2025-2025,1,-,-,-,-,-,-,-,-,-,-,-
5,WIA Fernando,2024-2025,6,-,-,-,-,-,-,-,-,-,-,-
6,DM de Silva,2024-2024,6,3,3.5,0,14,3,45658,4.66,3.65,7.6,0,0
7,B Fernando,2024-2025,11,11,38,0,330,10,45747,33,8.68,22.8,0,0
12,AM Fernando,2024-2024,4,3,10,0,95,2,45668,47.5,9.5,30,0,0
13,PW Hasaranga,2024-2025,21,21,80.2,1,581,40,45762,14.52,7.23,12,2,0
16,C Karunaratne,2025-2025,2,2,3,0,26,0,-,-,8.66,-,0,0
19,D Madushanka,2024-2024,4,4,13,0,125,3,45679,41.66,9.61,26,0,0
21,BKG Mendis,2024-2025,26,-,-,-,-,-,-,-,-,-,-,-
22,PHKD Mendis,2024-2025,19,6,13,0,99,3,45671,33,7.61,26,0,0
23,RTM Mendis,2024-2024,2,1,3,0,26,1,45683,26,8.66,18,0,0
24,P Nissanka,2024-2025,23,-,-,-,-,-,-,-,-,-,-,-
25,M Pathirana,2024-2024,18,17,56.2,1,468,30,45771,15.6,8.3,11.2,2,0
27,MDKJ Perera,2024-2025,17,-,-,-,-,-,-,-,-,-,-,-
28,PBB Rajapaksa,2024-2025,7,-,-,-,-,-,-,-,-,-,-,-
30,S Samarawickrama,2024-2024,10,-,-,-,-,-,-,-,-,-,-,-
31,MD Shanaka,2024-2025,17,14,26.5,1,226,9,45705,25.11,8.42,17.8,0,0
33,M Theekshana,2024-2025,25,25,89.2,0,664,27,45744,24.59,7.43,19.8,0,0
34,N Thushara,2024-2025,16,16,55.4,1,416,23,45797,18.08,7.47,14.5,1,1
35,JDF Vandersay,2025-2025,3,3,12,0,94,1,45682,94,7.83,72,0,0
36,DN Wellalage,2024-2024,4,4,15.3,0,91,6,45725,15.16,5.87,15.5,0,0
37,C Wickramasinghe,2024-2025,3,3,7,0,55,1,45674,55,7.85,42,0,0
38,A Dananjaya,2024-2024,2,2,6,0,56,2,13547,28,9.33,18,0,0
