PlayerID,Full Name,Born,Age,Batting Style,Bowling Style,Playing Role,Height,Fielding Position
1,Kariyawasam Indipalage Charith Asalanka,"June 29, 1997, Elpitiya",28y 18d,Left hand Bat,Right arm Offbreak,Batting Allrounder,6ft ,
2,Pathira Vasan Dushmantha Chameera,"January 11, 1992, Ragama",33y 187d,Right hand Bat,Right arm Fast,Bowler,,
3,Lokuge Dinesh Chandimal,"November 18, 1989, Balapitiya",35y 241d,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter,5ft 9in,Wicketkeeper
4,Gamage Sonal Dinusha,"December 04, 2000, Colombo",24y 225d,Left hand Bat,Slow Left arm Orthodox,Bowling Allrounder,,
5,Asitha Madusanka Fernando,"July 31, 1997, Katuneriya",27y 351d,Right hand Bat,Right arm Medium fast,Bowler,,
6,Dhananjaya Maduranga de Silva,"September 06, 1991, Colombo",33y 314d,Right hand Bat,Right arm Offbreak,Allrounder,5ft 8in,
7,Binura Fernando,"July 12, 1995, Colombo",30y 5d,Right hand Bat,Left arm Medium fast,Bowler,6ft 6in,
8,Bodiyabaduge Oshada Piyumal Fernando,"April 15, 1992, Colombo",33y 93d,Right hand Bat,Legbreak,Top order Batter,5ft 11in,
9,Kottasinghakkarage Nishan Madushka Fernando,"September 10, 1999, Moratuwa",25y 310d,Right hand Bat,,Wicketkeeper Batter,,Wicketkeeper
10,Muthuthanthirige Nuwanidu Keshawa Fernando,"October 13, 1999, Colombo",25y 277d,Right hand Bat,Right arm Offbreak,Batter,,
11,Muthuthanthrige Vishwa Thilina Fernando,"September 18, 1991, Colombo",33y 302d,Right hand Bat,Left arm Medium fast,Bowler,5ft 11in,
12,Weerahandige Inol Avishka Fernando,"April 05, 1998, Wadduwa",27y 103d,Right hand Bat,Right arm Medium fast,Opening Batter,,
13,Pinnaduwage Wanindu Hasaranga de Silva,"July 29, 1997, Galle",27y 353d,Right hand Bat,Legbreak,Allrounder,,
14,Lahiru Udara Igalagamage,"November 27, 1993, Kalubowila",31y 232d,Right hand Bat,,Wicketkeeper Batter,5ft 8in,
15,Neketh Gedara Roshan Prabath Jayasuriya,"November 05, 1991, Matale",33y 254d,Right hand Bat,Slow Left arm Orthodox,Bowler,,
16,Chamika Karunaratne,"May 29, 1996, Colombo",29y 49d,Right hand Bat,Right arm Medium fast,Bowling Allrounder,,
17,Frank Dimuth Madushanka Karunaratne,"April 21, 1988, Colombo",37y 87d,Left hand Bat,Right arm Medium,Opening Batter,6ft ,
18,Chandradasa Brahammana Ralalage Lahiru Sudesh Kumara,"February 13, 1997, Kandy",28y 154d,Left hand Bat,Right arm Fast,Bowler,,
19,Lokumarakkalage Dilshan Madushanka,"September 18, 2000, Hambantota",24y 302d,Right hand Bat,Left arm Fast medium,Bowler,,
20,Kiribathgala Kankanamalage Eshan Malinga Dharmasena,"February 04, 2001, Ratnapura",24y 163d,Left hand Bat,Right arm Fast medium,Bowler,,
21,Balapuwaduge Kusal Gimhan Mendis,"February 02, 1995, Moratuwa",30y 165d,Right hand Bat,Legbreak,Wicketkeeper Batter,,Wicketkeeper
22,Pasqual Handi Kamindu Dilanka Mendis,"September 30, 1998, Galle",26y 290d,Left hand Bat,"Right arm Offbreak, Slow Left arm Orthodox",Allrounder,,
23,Wanigamuni Ramesh Tarinda Mendis,"July 07, 1995, Ambalangoda",30y 10d,Right hand Bat,Right arm Offbreak,Allrounder,,
24,Pathum Nissanka Silva,"May 18, 1998, Galle",27y 60d,Right hand Bat,,Top order Batter,,
25,Matheesha Pathirana,"December 18, 2002, Kandy",22y 211d,Right hand Bat,Right arm Fast,Bowler,,
26,Kurukulasooriya Nishan Peiris,"August 11, 1997, Negombo",27y 340d,Left hand Bat,Right arm Offbreak,Bowler,,
27,Mathurage Don Kusal Janith Perera,"August 17, 1990, Kalubowila",34y 334d,Left hand Bat,,Wicketkeeper Batter,5ft 6in,Wicketkeeper
28,Pramod Bhanuka Bandara Rajapaksa,"October 24, 1991, Colombo",33y 266d,Left hand Bat,Right arm Medium,Top order Batter,,
29,Rathnayake Mudiyanselage Milan Priyanath Rathnayake,"August 01, 1996, Kurunegala",28y 350d,Left hand Bat,Right arm Medium fast,Bowler,6ft ,
30,Wedagedara Sadeera Rashen Samarawickrama,"August 30, 1995, Colombo",29y 321d,Right hand Bat,,Wicketkeeper Batter,,Wicketkeeper
31,Madagamagamage Dasun Shanaka,"September 09, 1991, Negombo",33y 311d,Right hand Bat,Right arm Medium,Allrounder,6ft,
32,Katupulle Gedara Mohamed Shiraz Sahab,"February 13, 1995, Kandy",30y 154d,Right hand Bat,Right arm Medium fast,Bowler,,
33,Morawakage Maheesh Theekshana,"August 01, 2000, Colombo",24y 350d,Right hand Bat,Right arm Offbreak,Bowler,,
